Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00681;Anläggningsdykare - Commercial Diver;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00762;CAD-konstruktör - Mechanical Designer;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00858;Ekonomi- och redovisningskonsult;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00859;UX Designer;Göteborg;Bunden;Startat;30;32
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00861;Computer Graphics Design - Produktvisualisering;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00864;Art Director & Copywriter;Göteborg;Bunden;Startat;34;36
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00894;Hotel Supervisor;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00910;Byggingenjör produktion;Göteborg;Bunden;Beviljat;25;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00924;Logistik- och transportledare;Göteborg, Piteå;Bunden;Beviljat;35;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00925;Internationell miljöinriktad speditör;Göteborg;Bunden;Beviljat;35;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH00967;Java Enterprise Utvecklare;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01050;Specialistundersköterska barn-och ungdomssjukvård;Alingsås, Arvika, Göteborg;Distans;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01059;Specialistundersköterska anestesi, operation och intensivvård;Alingsås, Göteborg, Piteå;Distans;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01065;Elektronikingenjör autonoma system;Göteborg;Bunden;Beviljat;20;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01126;Köksmästare;Göteborg;Distans;Beviljat;28;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01184;Game Creator Programmer;Göteborg;Bunden;Beviljat;25;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01185;Game Creator Artist;Göteborg;Bunden;Beviljat;25;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01186;Industrial Technical Artist;Göteborg;Bunden;Beviljat;20;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01501;Producent film och TV-drama;Göteborg;Distans;Beviljat;20;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01610;Specialistundersköterska akutsjukvård;Arvika, Göteborg, Piteå;Distans;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01628;3D-modellering i Blender, Grund;Göteborg;Distans;Startat;40;21
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01706;Administratör inom vård, omsorg och funktionsstöd;Göteborg;Bunden;Beviljat;35;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01788;Stödpedagog;Göteborg;Distans;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01945;Byggingenjör hållbart byggande;Göteborg;Bunden;Beviljat;25;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH01949;Hållbarhetsutvecklare ;Göteborg;Distans;Beviljat;35;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH02014;Instrumentingenjör;Arvika, Göteborg;Bunden;Beviljat;25;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH02382;Reserådgivare;Göteborg;Bunden;Beviljat;30;
Göteborgs Stad, Yrgo;Lärdomsg 3, Molinsg 23, Skåneg 20, Styrmansg 21 B;Box 8855;40272;Göteborg;katarina.hjernestam@educ.goteborg.se;031-3673100;YH02488;Säkerhetssamordning - möten, evenemang och upplevelser;Göteborg;Distans;Startat;55;25
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH00373;Produktionsutveckling;Göteborg;Bunden;Beviljat;20;
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH00749;Underhållstekniker - el och automation;Göteborg;Bunden;Beviljat;25;
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH02078;Charging El- och hybridfordon;Göteborg;Bunden;Startat;40;20
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH02084;Energy Storage El- och hybridfordon;Göteborg;Bunden;Startat;40;20
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH02242;Batteri- och elfordonssystem;Göteborg;Bunden;Startat;40;21
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH02420;Konstruktör batterielektriska system;Göteborg;Bunden;Beviljat;20;
Göteborgs Tekniska College AB;Lindholmen Kunskapscentrum, Diagonalen 6;Box 8090 ;40278;Göteborg;Andrea.Palmberg@gtc.com;0708-581981;YH02422;Kvalitetstekniker inom batteritillverkning;Göteborg;Bunden;Beviljat;32;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH00020;Anläggningsingenjör - hållbart och digitalt samhällsbyggande;Västra Frölunda;Bunden;Beviljat;30;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH00760;Backend Developer inriktning Cloud;Västra Frölunda;Bunden;Beviljat;35;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH00795;Frontend Developer ;Västra Frölunda;Bunden;Beviljat;35;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH00947;Mjukvaruutvecklare med AI-inriktning;Malmö;Bunden;Beviljat;35;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH00953;Systemutvecklare med .NET-inriktning;Göteborg;Bunden;Beviljat;35;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH01116;Byggnadsingenjör - hållbart och digitalt byggande;Luleå, Lycksele, Umeå;Bunden;Beviljat;30;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH01459;Mjukvaruutvecklare med AI-inriktning;Halmstad;Bunden;Beviljat;30;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH01989;Anläggningsingenjör med BIM- och Hållbarhetskompetens;Luleå;Bunden;Beviljat;30;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH01999;Säljare B2B/Account Manager;Halmstad, Växjö;Bunden;Beviljat;35;
Handelsakademin i Göteborg AB;Redegatan 1 B;Redegatan 1B;42677;Västra Frölunda;camilla.verngren@nbi-handelsakademin.se;720503728;YH02537;Hållbar byggprojektering med BIM;Luleå;Distans;Startat;80;45
Hantverksakademin i Sverige AB;Vasagatan 46;Vasagatan 46;11120;Stockholm;info@hantverksakademin.se;850589800;YH01014;Lärlingsutbildning inom traditionellt hantverk;Stockholm;Bunden;Beviljat;35;
Hantverksakademin i Sverige AB;Vasagatan 46;Vasagatan 46;11120;Stockholm;info@hantverksakademin.se;850589800;YH02417;Fördjupad lärlingsutbildning inom traditionellt och hållbart hantverk;Stockholm;Bunden;Beviljat;15;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00011;VVS-ingenjör inriktning energi;Göteborg;Bunden;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00130;Trädgårdsmästare inriktning arbetsledning;Göteborg;Bunden;Beviljat;28;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00137;Automations- och Robotingenjör med Industri 4.0;Göteborg;Bunden;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00199;Stödpedagog inom funktionshinderområdet;Göteborg;Distans;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00658;Technical Account Manager;Göteborg;Distans;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00675;Internationell affärslogistiker - Green management;Göteborg;Bunden;Beviljat;30;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH00782;Redovisningsekonom;Göteborg;Bunden;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH01745;Byggnadsingenjör BIM/CAD;Göteborg;Bunden;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH01918;Energispecialist;Göteborg;Distans;Beviljat;30;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH01997;Ventilationstekniker;Göteborg;Distans;Beviljat;20;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH02016;E-mobility-ingenjör ;Göteborg;Distans;Beviljat;30;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH02403;Applikationsingenjör mot industri/fordonsbranschen;Göteborg, Lund;Distans;Beviljat;35;
Hermods AB Göteborg;Norra Ågatan 10 B;Norra Ågatan 10 B;41664;Göteborg;yh@hermods.se;08-41025100;YH02427;Produktionstekniker inriktning livsmedel;Göteborg;Distans;Beviljat;35;
Hermods AB Helsingborg;Södergatan 78;Södergatan 78;25227;Helsingborg;yh@hermods.se;08-410 251 00;YH00649;VVS-ingenjör;Helsingborg;Bunden;Beviljat;35;
Hermods AB Helsingborg;Södergatan 78;Södergatan 78;25227;Helsingborg;yh@hermods.se;08-410 251 00;YH00679;Internationell affärslogistiker inriktning hållbarhet och digitalisering;Helsingborg;Bunden;Beviljat;35;
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH00128;Trädgårdsmästare inom park och kulturlandskap;Karlskrona;Bunden;Beviljat;26;
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH00571;Stödpedagog inom funktionshinderområdet;Karlskrona, Stockholm;Distans;Beviljat;35;
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH00597;Specialistundersköterska inom vård och omsorg av äldre;Borås, Karlskrona;Distans;Beviljat;35;
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH01491;Specialistundersköterska inriktning palliativ vård;Karlskrona;Distans;Beviljat;35;
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH02615;Psykisk ohälsa ;Karlskrona;Distans;Startat;120;43
Hermods AB Karlskrona;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;Tyska Bryggaregården Saltsjöbadsvägen 1 A ;37156;Karlskrona;yh@hermods.se;010-1421391;YH02727;Specialistundersköterska inom psykiatrisk verksamhet;Karlskrona;Distans;Beviljat;35;
Hermods AB Kristianstad;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01961;Underhållsingenjör – Smart Maintenance;Kristianstad;Distans;Beviljat;30;
Hermods AB Lund;Åkergränden 5;Drottninggatan 4B;21141;Malmö;yh@hermods.se;031-757 9349;YH00103;Företagssäljare/B2B;Lund;Distans;Beviljat;35;
Hermods AB Lund;Åkergränden 5;Drottninggatan 4B;21141;Malmö;yh@hermods.se;031-757 9349;YH01524;Automations- och Robotingenjör med Industri 4.0;Lund;Bunden;Beviljat;35;
Hermods AB Lund;Åkergränden 5;Drottninggatan 4B;21141;Malmö;yh@hermods.se;031-757 9349;YH01721;CNC- och robottekniker;Lund;Bunden;Beviljat;22;
Hermods AB Malmö;Drottninggatan 4B;Drottninggatan 4B;21211;Malmö;yh@hermods.se;08-41025100;YH00033;Internationell transportlogistiker;Malmö;Distans;Beviljat;32;
Hermods AB Malmö;Drottninggatan 4B;Drottninggatan 4B;21211;Malmö;yh@hermods.se;08-41025100;YH00455;Anläggningsingenjör - Infrastruktur;Malmö;Distans;Beviljat;35;
Hermods AB Malmö;Drottninggatan 4B;Drottninggatan 4B;21211;Malmö;yh@hermods.se;08-41025100;YH01508;Teknikinformatör;Malmö;Distans;Beviljat;35;
Hermods AB Malmö;Drottninggatan 4B;Drottninggatan 4B;21211;Malmö;yh@hermods.se;08-41025100;YH02676;Ventilationstekniker;Malmö;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH00122;Trädgårdsmästare inriktning hållbarhet;Solna;Bunden;Beviljat;30;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH00911;Byggnadsingenjör - produktion;Stockholm;Bunden;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH00912;Byggnadsingenjör - ROT;Solna, Stockholm;Bunden;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH00921;Anläggningsingenjör - infrastruktur;Solna;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH01548;VA-ingenjör;Stockholm;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH01692;Green Urban Developer;Malmö, Solna, Stockholm;Distans;Beviljat;30;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH01696;Account Manager – Hållbar Försäljning;Stockholm;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH01988;Projektingenjör Järnväg;Göteborg, Malmö, Solna, Stockholm;Distans;Beviljat;30;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH01998;Ventilationstekniker;Solna;Distans;Beviljat;20;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH02180;Fördjupad byggledning med inriktning mark och anläggning;Stockholm;Distans;Startat;60;23
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH02342;Dagvatteningenjör;Stockholm;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH02414;E-mobility-ingenjör;Stockholm;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH02689;Akustikkonsult;Stockholm;Distans;Beviljat;35;
Hermods AB Stockholm;Drottningholmsvägen 37;Drottningholmsvägen 37;11242;Stockholm;yh@hermods.se;08-41025100 ;YH02697;Vätgasingenjör;Stockholm;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01532;Byggnadsingenjör - Produktion;Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01735;Mätningstekniker specialistkompetens geodesi;Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01784;Underhållsingenjör – Smart Maintenance;Umeå, Örnsköldsvik;Distans;Beviljat;30;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01810;Stödpedagog inom funktionshinderområdet;Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01919;Skogsplanerare;Karlskrona, Umeå;Distans;Beviljat;30;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01967;Automations- och Robotingenjör med Industri 4.0;Umeå;Bunden;Beviljat;30;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH01990;Anläggningsingenjör - infrastruktur;Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH02389;Vindkraftstekniker;Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH02453;Specialistundersköterska Palliativ vård;Solna, Umeå;Distans;Beviljat;35;
Hermods AB Umeå;Adolf Fredriks Kyrkogata 2;Box 213;10124;Stockholm;yh@hermods.se;08-41025100;YH02609;PLC-programmering och HMI;Umeå;Distans;Startat;60;30
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH00138;Automations- och Robotingenjör med Industri 4.0;Örebro;Bunden;Beviljat;35;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH00454;Anläggningsingenjör - Infrastruktur;Örebro;Distans;Beviljat;35;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH00643;Kyl- och värmepumpstekniker;Örebro;Distans;Beviljat;35;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH00647;VVS-ingenjör;Örebro;Bunden;Beviljat;35;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH01770;Technical Account Manager;Örebro;Distans;Beviljat;35;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH01930;CNC- och robottekniker;Örebro;Bunden;Beviljat;30;
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH02295;Pythonprogrammering;Örebro;Distans;Startat;90;22
Hermods AB Örebro;Elementvägen 14;Elementvägen 14;70227;Örebro;yh@hermods.se;08-410 25 100;YH02534;Injustering ventilation;Örebro;Distans;Startat;90;14
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH00006;Drift- och fastighetstekniker;Östersund;Distans;Beviljat;30;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH00344;Redovisningsekonom;Östersund;Bunden;Beviljat;35;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH01067;Stödpedagog inom funktionshinderområdet;Boden, Östersund;Distans;Beviljat;35;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH01611;Specialistundersköterska psykiatrisk verksamhet;Umeå, Östersund;Distans;Beviljat;35;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH01973;Laborant;Östersund;Distans;Beviljat;30;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH02008;Kyl- och värmepumpstekniker;Östersund;Distans;Beviljat;20;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH02341;Bergingenjör;Stockholm, Umeå, Östersund;Distans;Beviljat;35;
Hermods AB Östersund;Armegränd 1;Armegränd 1;83132;Östersund;yh@hermods.se;08-41025100;YH02343;Fiskodlare - hållbart vattenbruk;Lycksele, Östersund;Distans;Beviljat;35;
Hudiksvall kommun CUL;Norra Kyrkogatan 39;Kullgatan 6-8 Gunilla Svensson;82430;Hudiksvall;gunilla.svensson@hudiksvall.se;0650-19000;YH00555;Socialpedagog;Hudiksvall;Bunden;Beviljat;32;
Hudvårdshögskolan IBS;Smedjegatan 18, plan 3;Smedjegatan 18;13154;Nacka;info@hudvardshogskolan.se;86533641;YH01121;Hud- och Spaterapeut;Nacka;Bunden;Beviljat;16;
Hudvårdshögskolan IBS;Smedjegatan 18, plan 3;Smedjegatan 18;13154;Nacka;info@hudvardshogskolan.se;86533641;YH01907;Hud-och Spaterapeut ;Nacka;Distans;Beviljat;16;
Hudvårdshögskolan IBS;Smedjegatan 18, plan 3;Smedjegatan 18;13154;Nacka;info@hudvardshogskolan.se;86533641;YH01907;Hud-och Spaterapeut ;Nacka;Distans;Startat;16;11
Hushållningssällskapet Kalmar Kronoberg Blekinge - Gamlebygymnasiet;;Gamlebygymnasiet;59432;Gamleby;info.h@hushallningssallskapet.se;0493-14200;YH01759;Småskalig affärsmässig livsmedelsproduktion med fokus på hållbarhet;Gamleby;Distans;Beviljat;25;
Hvilan Utbildning AB;Kabbarpsvägen 126;Kabbarpsvägen 126;23252;Åkarp;info@hvilanutbildning.se;040-463700;YH00379;Arborist;Stockholm;Bunden;Beviljat;24;
Hvilan Utbildning AB;Kabbarpsvägen 126;Kabbarpsvägen 126;23252;Åkarp;info@hvilanutbildning.se;040-463700;YH00776;Trädgårdsmästare - Hållbar parkförvaltning och ekosystemtjänster ;Åkarp;Bunden;Beviljat;30;
